method, roc, best_roc, diff_roc,ap, best_ap, diff_ap,best roc, best ap
FB,0.915,0.9241,0.9945,0.4599,0.4942,7.4581,LSCP_aom,LSCP_aom
GG_a,0.9061,0.9241,1.9865,0.4282,0.4942,15.4134,LSCP_aom,LSCP_aom
GG_m,0.8829,0.9241,4.6664,0.4016,0.4942,23.0578,LSCP_aom,LSCP_aom
GG_wa,0.9075,0.9241,1.8292,0.4326,0.4942,14.2395,LSCP_aom,LSCP_aom
GG_thresh,0.9099,0.9241,1.5606,0.438,0.4942,12.8311,LSCP_aom,LSCP_aom
GG_aom,0.908,0.9241,1.7731,0.4511,0.4942,9.5544,LSCP_aom,LSCP_aom
GG_moa,0.9151,0.9241,0.9835,0.455,0.4942,8.6154,LSCP_aom,LSCP_aom
LSCP_a,0.8974,0.9241,2.9753,0.4089,0.4942,20.8608,LSCP_aom,LSCP_aom
LSCP_moa,0.9158,0.9241,0.9063,0.473,0.4942,4.482,LSCP_aom,LSCP_aom
LSCP_m,0.8057,0.9241,14.6953,0.3291,0.4942,50.1671,LSCP_aom,LSCP_aom
LSCP_aom,0.9241,0.9241,0.0,0.4942,0.4942,0.0,LSCP_aom,LSCP_aom
