method, roc, best_roc, diff_roc,ap, best_ap, diff_ap,best roc, best ap
FB,0.7596,0.8546,12.5066,0.1991,0.3682,84.9322,GG_m,LSCP_m
GG_a,0.789,0.8546,8.3143,0.2323,0.3682,58.5019,GG_m,LSCP_m
GG_m,0.8546,0.8546,0.0,0.3495,0.3682,5.3505,GG_m,LSCP_m
GG_wa,0.7843,0.8546,8.9634,0.2275,0.3682,61.8462,GG_m,LSCP_m
GG_thresh,0.8077,0.8546,5.8066,0.2388,0.3682,54.1876,GG_m,LSCP_m
GG_aom,0.8374,0.8546,2.054,0.2998,0.3682,22.8152,GG_m,LSCP_m
GG_moa,0.8044,0.8546,6.2407,0.2446,0.3682,50.5315,GG_m,LSCP_m
LSCP_a,0.769,0.8546,11.1313,0.2121,0.3682,73.5974,GG_m,LSCP_m
LSCP_moa,0.7892,0.8546,8.2869,0.2377,0.3682,54.9011,GG_m,LSCP_m
LSCP_m,0.8504,0.8546,0.4939,0.3682,0.3682,0.0,GG_m,LSCP_m
LSCP_aom,0.7685,0.8546,11.2036,0.2283,0.3682,61.279,GG_m,LSCP_m
